address,balance,tx_count,last_active
0x3c9df24f248ff949161a5a43bbf6dd69378d7799,13427.3065089716,63,2026-02-06T10:49:47
0x7e6af92df2aecd6113325c0b58f821ab1dce37f6,13201.97242853,46,2026-02-06T09:35:59
0x33a5e430b626d2b6f93fd5b94159d30a636a0c4b,11475.58,45,2026-02-05T06:44:59
0x849b2fb7d57229492a223a8883cfc5b595800483,9828.87096687,30,2026-02-05T23:57:47
0x88d97d199b9ed37c29d846d00d443de980832a22,6311.680317657434,503,2026-02-06T13:00:47
0xd598ba48da3280654cd8cc90b28d16b1208a0941,5258.1587167200005,73,2026-02-06T11:55:23
0x14e51143b3a5de4b4ec392680010e170c458ecc8,4120.0643739,55,2026-02-05T22:13:47
0xb1b2d032aa2f52347fbcfd08e5c3cc55216e8404,2147.0726553062395,23,2026-02-06T09:23:23
0x55823001c8cd87a6e86716ca768bce51f2d89c9c,1774.4397,30,2026-02-06T12:34:35
0xfe263102682933297cb65dc813e5193249769251,1671.0194373177617,122,2026-02-06T10:03:11
0x966709a1c9412b92ce08afad48c366086a85e1dd,1462.3158891,24,2026-02-06T06:50:59
0xb1f9ec02480dd9e16053b010dfc6e6c4b72ecad5,1247.6297522275136,37,2026-02-05T05:25:11
0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,1168.7230114053748,1169,2026-02-06T14:11:59
0xbf90664017218ac7d9db5ae0c84873628e9ae1ae,490.9889463945,30,2026-02-06T05:48:35
0x1f2f10d1c40777ae1da742455c65828ff36df387,391.4725972750892,208,2026-02-04T06:07:11
0xba12222222228d8ba445958a75a0704d566bf2c8,375.33357653987645,53,2026-02-06T04:32:47
0x84201cf0f98b69117b0a9097b2df11da6fb44106,161.57791020869607,108,2026-02-05T08:48:35
0x6cbb2add2a126e65cef029afca45576910a26b5f,92.8,23,2026-02-06T12:24:35
0xe95b0243a5c5e6fa4b8f34cb525a64e6a1b9aec9,57.58911684416254,46,2026-02-06T03:58:59
0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,57.05659761151962,30,2026-02-05T16:11:59
0x9008d19f58aabd9ed0d60971565aa8510560ab41,24.4871665889784,70,2026-02-06T05:51:35
