market_id,resolution,resolution_binary,volume,category,closed_time,price_t0,price_t1d,price_t7d,price_t30d
252443,Yes,1,0.0,,2023-10-02 23:01:20+00,0.5,0.5,,
252444,Yes,1,0.0,,2023-10-03 22:47:17+00,0.36,0.5,,
252461,No,0,231.993796,,2023-09-28 14:48:26+00,0.175,,,
252463,Yes,1,1145.688218,,2023-10-13 19:50:41+00,0.955,0.445,0.43,
252464,Yes,1,6888.744096,,2023-11-21 22:52:29+00,0.32,0.205,0.205,0.275
252465,No,0,15484.632489,,2023-10-03 23:01:39+00,0.805,0.755,,
252466,Yes,1,26326.888883,,2023-10-02 08:33:10+00,0.9705,0.9725,,
252467,No,0,1258.823526,,2023-10-02 08:02:34+00,0.55,0.175,,
252468,No,0,560.0,,2023-10-02 08:02:42+00,0.175,0.185,,
252469,No,0,0.0,,2023-10-02 08:02:50+00,0.42,0.425,,
252470,No,0,333.0,,2023-10-02 08:02:58+00,0.585,0.255,,
252471,No,0,111.0,,2023-10-02 08:03:06+00,0.5,0.45,,
252472,No,0,0.0,,2023-10-02 08:03:14+00,0.5,0.35,,
252473,Yes,1,14425.195837,,2023-10-02 07:02:16+00,0.44,0.16,,
252482,No,0,121496.155961,,2023-10-17 00:02:48+00,0.0005,0.0045,0.3105,
252483,Yes,1,5701.1101610000005,,2023-10-06 13:16:31+00,0.89,0.875,,
252484,No,0,1110.0,,2024-03-06 19:17:36+00,0.25,0.5,0.01,0.008
252485,No,0,16314.830979,,2024-01-01 07:18:39+00,0.033,0.033,0.044,0.305
252486,Yes,1,16199.100740000002,,2024-01-11 00:47:06+00,0.89,0.88,0.925,0.77
252487,No,0,12141.654006,,2023-10-15 06:15:13+00,0.07,0.065,0.16,
252494,Yes,1,241.520538,,2023-11-03 02:04:39+00,0.98,0.98,0.975,
252504,Yes,1,4712.933928,,2023-11-03 02:04:17+00,0.9,0.5,0.61,
252511,No,0,363283.032144,,2024-03-28 17:57:28+00,0.095,0.105,0.115,0.225
252512,Yes,1,10769.936729000001,,2023-10-27 23:19:01+00,0.945,0.93,0.81,
252513,Yes,1,0.0,,2023-10-10 20:01:18+00,0.89,0.89,,
252514,No,0,147030.201414,,2024-01-01 07:24:56+00,0.008,0.008,0.0165,0.0085
252515,No,0,389.262257,,2023-10-16 16:15:27+00,0.1,0.1,0.18,
252516,No,0,15.0,,2023-11-02 15:36:44+00,0.5,0.5,0.5,
252528,Yes,1,39860.357942999995,,2023-10-17 20:50:29+00,0.56,0.725,0.26,
252529,No,0,72276.080569,,2023-10-25 20:22:00+00,0.114,0.05,0.11,
252530,No,0,25294.772931,,2023-10-25 20:06:17+00,0.0825,0.07,0.2275,
252531,No,0,14938.375902,,2023-10-18 00:49:38+00,0.0005,0.0005,0.645,
252532,Yes,1,24972.159062,,2023-10-25 20:07:07+00,0.36,0.39,0.7025,
252533,No,0,31705.934333,,2023-10-25 20:04:01+00,0.0185,0.048,0.13,
252534,No,0,159903.54127599997,,2023-10-25 20:06:05+00,0.0325,0.0355,0.2325,
252535,No,0,78864.566439,,2023-10-25 20:07:37+00,0.0225,0.026,0.0195,
252536,Yes,1,2440.3075049999998,,2024-01-01 07:04:59+00,0.995,0.995,0.9555,0.9455
252537,No,0,7781.329782,,2023-10-11 06:31:14+00,0.015,0.015,,
252551,No,0,275774.27700999996,,2023-11-19 19:05:27+00,0.0035,0.0005,0.375,0.455
252552,No,0,26154.585537,,2023-10-25 20:07:25+00,0.2495,0.15,0.5,
252556,No,0,7256.323097,,2023-10-10 00:17:10+00,0.001,0.0195,,
252560,Yes,1,1774.798045,,2023-11-03 00:19:05+00,0.995,0.995,0.745,
252561,No,0,25193.226125,,2023-10-18 23:35:33+00,0.0025,0.006,0.465,
252562,Yes,1,30789.543484,,2023-10-19 01:50:20+00,0.9985,0.998,0.47,
252563,No,0,601.929733,,2023-10-19 02:50:23+00,0.205,0.2,0.465,
252568,Yes,1,1330.304082,,2023-10-08 21:47:39+00,0.845,0.78,,
252569,No,0,4712.5112389999995,,2023-10-10 05:17:12+00,0.035,0.055,,
252572,No,0,39000.0,,2023-10-25 20:04:29+00,0.0065,0.0115,0.009,
252573,No,0,2950.36271,,2023-10-11 03:16:40+00,0.0705,0.07,,
252574,No,0,158663.699947,,2024-03-28 17:57:18+00,0.0065,0.0065,0.008,0.044
252575,Yes,1,8755.432559,,2023-10-13 22:46:36+00,0.9915,0.9885,,
252582,No,0,137359.248139,,2023-11-01 06:37:45+00,0.0025,0.003,0.0545,
252583,No,0,60405.250164,,2023-10-15 06:31:41+00,0.0265,0.13,0.34,
252584,Yes,1,685030.6661100001,,2023-11-03 00:34:21+00,0.9995,0.9955,0.977,
252587,No,0,17766.525928,,2024-01-01 07:03:53+00,0.031,0.031,0.0185,0.018
252588,No,0,97301.030549,,2024-01-01 07:31:55+00,0.039,0.039,0.064,0.041
252589,Yes,1,19813.568476,,2023-10-09 17:17:40+00,0.7,,,
252596,No,0,148098.61451,,2024-04-01 06:11:30+00,0.002,0.0025,0.013,0.0115
252597,Yes,1,24891.413111,,2023-11-01 16:35:29+00,0.978,0.984,0.97,
252598,Yes,1,162833.30671099998,,2023-11-26 07:34:46+00,0.9795,0.9375,0.415,0.25
252599,Yes,1,34867.673873,,2024-01-01 07:24:12+00,0.96,0.96,0.96,0.9495
252600,Yes,1,35254.845969,,2024-01-01 07:05:21+00,0.957,0.956,0.985,0.9545
252601,Yes,1,39652.929468999995,,2023-10-21 00:00:58+00,0.9995,0.265,0.28,
252602,Yes,1,1204.654784,,2024-01-01 07:02:45+00,0.9755,0.9755,0.974,0.968
252603,Yes,1,24791.894991,,2024-01-01 07:46:03+00,0.91,0.91,0.9005,0.95
252604,Yes,1,106081.594562,,2023-10-13 20:31:57+00,0.3,0.51,,
252605,No,0,46876.158111,,2024-01-01 07:19:55+00,0.041,0.0405,0.023,0.07
252606,No,0,13180.50856,,2023-11-02 06:07:41+00,0.075,0.075,0.145,
252608,No,0,100166.699352,,2024-01-01 07:18:27+00,0.0135,0.0135,0.0095,0.007
252626,No,0,598128.829228,,2024-01-06 00:31:31+00,0.003,0.039,0.3135,0.42
252627,No,0,340981.63461300003,,2023-11-05 00:36:23+00,0.0015,0.0145,0.0485,
252631,No,0,30729.969552000002,,2023-10-16 06:16:54+00,0.005,0.06,,
252632,Yes,1,461764.58602100005,,2023-10-24 01:00:09+00,0.9975,0.95,0.095,
252643,No,0,28439.409087,,2023-12-30 07:15:20+00,0.02,0.01,0.025,0.075
252644,No,0,116794.762702,,2024-01-31 19:01:12+00,0.004,0.004,0.0015,0.0035
252645,No,0,18475.733555,,2023-12-01 07:06:22+00,0.015,0.0255,0.0505,0.07
252651,No,0,36652.305946,,2023-10-25 20:30:09+00,0.0095,0.3535,0.188,
252653,No,0,5571.812626999999,,2023-10-17 05:32:14+00,0.025,0.06,,
252657,No,0,13895.741716,,2023-10-21 08:31:13+00,0.025,0.0275,0.135,
252658,No,0,22386.066301,,2023-12-01 13:48:43+00,0.012,0.0135,0.054,0.075
252659,No,0,353.432619,,2023-10-25 13:15:30+00,0.01,0.35,0.11,
252661,No,0,110967.443177,,2023-10-21 06:16:17+00,0.048,0.265,,
252662,No,0,110450.085656,,2024-01-01 07:20:15+00,0.0105,0.005,0.0115,0.015
252663,Yes,1,58300.041403999996,,2023-11-05 00:36:38+00,0.999,0.988,0.165,
252664,No,0,28090.173646,,2024-01-01 07:03:29+00,0.02,0.02,0.02,0.05
252665,No,0,57437.85321,,2024-01-04 00:30:17+00,0.0025,0.1,0.07,0.07
252666,No,0,26115.579979,,2023-10-17 02:32:44+00,0.005,0.29,,
252667,No,0,2524.513508,,2023-10-25 13:15:42+00,0.5,0.64,0.385,
252668,Yes,1,325.384612,,2023-11-02 05:19:02+00,0.5,0.5,0.5,
252669,No,0,635.732984,,2023-11-02 05:21:52+00,0.5,0.5,0.5,
252670,Yes,1,24057.417396999997,,2023-10-18 10:16:54+00,0.9845,0.495,,
252672,No,0,6248.101424,,2023-10-18 06:33:04+00,0.0005,0.46,,
252673,Yes,1,44406.250971,,2023-10-31 00:51:17+00,0.9995,0.9955,0.79,
252674,Yes,1,49839.880522,,2023-10-31 00:51:41+00,0.9995,0.07,0.525,
252675,No,0,36463.401340000004,,2023-10-31 00:45:08+00,0.0005,0.0095,0.255,
252677,Yes,1,7008.7752980000005,,2023-10-23 06:31:33+00,0.975,0.855,,
252678,No,0,12085.52547,,2024-01-01 07:04:17+00,0.0005,0.0005,0.025,0.05
252679,No,0,3510.6815880000004,,2023-10-25 20:30:47+00,0.031,0.044,0.04,
252680,No,0,14751.939306,,2023-10-25 20:00:41+00,0.23,0.26,0.215,
252682,Yes,1,584829.0302629999,,2023-11-01 00:26:25+00,0.9995,0.971,0.315,
252683,No,0,8428.709343999999,,2023-11-02 06:06:47+00,0.005,0.005,0.0175,
252684,No,0,4789.110571,,2023-11-02 06:20:21+00,0.005,0.1,0.065,
252698,Yes,1,6403.617560000001,,2023-11-19 13:20:55+00,0.765,0.775,0.355,0.33
252699,No,0,1199.272631,,2023-11-19 13:20:21+00,0.01,0.01,0.01,0.0125
252700,No,0,8596.778717,,2023-11-19 13:21:51+00,0.015,0.015,0.015,0.025
252701,No,0,3838.333332,,2023-11-19 13:21:31+00,0.025,0.015,0.015,0.0055
252702,No,0,4837.793575,,2023-11-19 18:42:55+00,0.24,0.235,0.635,0.655
252703,Yes,1,1844.836337,,2023-10-28 10:45:57+00,0.345,0.49,0.3,
252705,No,0,40732.421523,,2023-12-06 15:04:49+00,0.275,0.195,0.405,0.4
